POINT_ID,SOC_INCREASE
26581768,-28.7
26581792,13.8
26581954,-0.8000000000000007
26601784,-19.999999999999993
26702014,-6.200000000000003
26741814,-5.199999999999999
26741986,-9.2
26761768,-5.899999999999999
26761786,0.8000000000000043
26761804,10.899999999999999
26761864,0.20000000000000018
26761998,4.699999999999999
26762002,3.3999999999999995
26781816,3.0
26802028,-7.300000000000001
26821846,-1.1000000000000014
26841764,20.4
26841826,-4.800000000000001
26841944,-2.5
26881938,-8.4
26881988,-24.5
26921850,1.299999999999999
26921874,-6.800000000000001
26941804,-4.699999999999999
26941810,-0.3999999999999986
26961834,-1.700000000000001
26961996,-3.0999999999999996
26962018,16.599999999999998
27001846,0.0
27001864,-3.700000000000003
27001882,-2.5
27001936,-1.0
27002038,2.6999999999999993
27041840,2.4000000000000004
27041876,-1.0
27061758,-3.099999999999998
27061888,-2.5999999999999996
27061970,-1.0
27081828,-0.5999999999999996
27101814,-1.1999999999999993
27101940,-4.0
27101964,-1.1999999999999997
27102048,3.8
27121756,3.1999999999999993
27122016,-5.100000000000001
27141834,3.200000000000001
27162028,1.7000000000000028
27181846,0.5
27182008,0.3000000000000007
27201772,-4.099999999999998
27202006,8.799999999999997
27221750,9.399999999999999
27221822,-4.100000000000001
27221858,-6.299999999999999
27241758,-6.0
27241816,12.9
27241888,2.5999999999999996
27241916,-5.699999999999999
27241992,-0.8999999999999986
27242086,0.2999999999999998
27281760,10.600000000000001
27281838,-17.3
27281850,19.4
27281940,-0.6000000000000005
27282018,-4.4
27282072,7.9
27282102,0.40000000000000036
27301972,-3.5999999999999996
27301980,0.6999999999999993
27302020,-0.8000000000000007
27302044,113.4
27321748,-33.8
27321784,-1.1999999999999993
27341920,-6.199999999999999
27361846,1.0
27361954,2.2
27362062,4.199999999999999
27381902,1.5000000000000018
27381916,-20.299999999999997
27381926,11.500000000000002
27382028,-4.300000000000001
27401804,3.8
27401840,1.700000000000001
27402038,-4.5
27402128,-0.10000000000000009
27421740,-7.099999999999998
27421762,-3.5
27421780,-1.8999999999999995
27421902,-15.2
27422006,-3.200000000000001
27422010,1.0999999999999996
27461842,-0.7000000000000011
27461868,-2.0
27461892,-9.799999999999999
27462000,6.100000000000001
27462022,-28.5
27462072,20.400000000000002
27462138,-3.4000000000000004
27481828,-15.799999999999997
27481894,-18.500000000000004
27481972,0.1999999999999993
27482128,2.5
27501780,-1.7000000000000002
27501802,1.5999999999999996
27501892,-0.3000000000000007
27521862,1.6000000000000014
27521880,-1.1000000000000014
27522042,24.699999999999996
27541756,-0.5
27541792,-14.900000000000002
27541810,3.3000000000000007
27541828,1.6000000000000014
27542110,-4.2
27561764,27.499999999999996
27561812,0.5
27561920,66.19999999999999
27561952,-0.5999999999999996
27561980,0.3000000000000007
27561988,-5.700000000000003
27562118,-5.100000000000001
27562136,2.8000000000000007
27601758,-17.1
27601790,3.3999999999999986
27601794,4.1
27601844,2.8999999999999995
27601942,9.499999999999998
27602032,10.4
27602150,-90.8
